DateTime	A	1
30-Mar-2021 00:37:49	80.002	25.8
30-Mar-2021 00:37:54	80.092	25.6
30-Mar-2021 00:37:59	79.965	28.1
30-Mar-2021 00:38:04	79.935	28.1
30-Mar-2021 00:38:09	79.946	28.2
30-Mar-2021 00:38:14	80.1	25.6
30-Mar-2021 00:38:19	80.068	25.7
30-Mar-2021 00:38:24	79.918	28.3
30-Mar-2021 00:38:29	79.935	28.4
30-Mar-2021 00:38:34	80.07	25.8
30-Mar-2021 00:38:39	80.075	25.9
30-Mar-2021 00:38:44	79.933	28.3
30-Mar-2021 00:38:49	79.932	28.4
30-Mar-2021 00:38:54	79.95	28.2
30-Mar-2021 00:38:59	80.088	25.8
30-Mar-2021 00:39:04	80.079	25.6
30-Mar-2021 00:39:09	79.929	28.4
30-Mar-2021 00:39:14	79.943	28.3
30-Mar-2021 00:39:19	79.965	28.1
30-Mar-2021 00:39:24	79.98	27.9
30-Mar-2021 00:39:29	79.997	27.7
30-Mar-2021 00:39:34	80.011	27.5
30-Mar-2021 00:39:39	80.007	27.5
30-Mar-2021 00:39:44	80.094	25.8
30-Mar-2021 00:39:49	80.079	25.9
30-Mar-2021 00:39:54	79.973	27.5
30-Mar-2021 00:39:59	79.977	27.5
30-Mar-2021 00:40:04	79.977	27.6
30-Mar-2021 00:40:09	80.066	25.9
30-Mar-2021 00:40:14	80.006	27.6
30-Mar-2021 00:40:19	79.951	27.8
30-Mar-2021 00:40:24	79.957	27.9
30-Mar-2021 00:40:29	80.046	26.4
30-Mar-2021 00:40:34	80.045	26.3
30-Mar-2021 00:40:39	79.955	27.8
30-Mar-2021 00:40:44	79.956	27.9
30-Mar-2021 00:40:49	79.966	27.9
30-Mar-2021 00:40:54	80.056	26.2
30-Mar-2021 00:40:59	80.035	26.2
30-Mar-2021 00:41:04	79.95	28
30-Mar-2021 00:41:09	79.972	27.8
30-Mar-2021 00:41:14	80.067	26.1
30-Mar-2021 00:41:19	80.067	25.8
30-Mar-2021 00:41:24	79.953	27.7
30-Mar-2021 00:41:29	79.952	27.9
30-Mar-2021 00:41:34	79.969	27.7
30-Mar-2021 00:41:39	80.06	26.1
30-Mar-2021 00:41:44	80.019	27.8
30-Mar-2021 00:41:49	79.94	28.1
30-Mar-2021 00:41:54	79.956	28.1
30-Mar-2021 00:41:59	80.058	26.2
30-Mar-2021 00:42:04	80.059	26
30-Mar-2021 00:42:09	79.955	27.8
30-Mar-2021 00:42:14	79.956	28
30-Mar-2021 00:42:19	79.968	27.9
30-Mar-2021 00:42:24	80.061	26.2
30-Mar-2021 00:42:29	80.044	26.2
30-Mar-2021 00:42:34	79.942	28.1
30-Mar-2021 00:42:39	79.959	28
30-Mar-2021 00:42:44	80.071	26
30-Mar-2021 00:42:49	80.075	25.9
30-Mar-2021 00:42:54	79.949	27.9
30-Mar-2021 00:42:59	79.951	28
30-Mar-2021 00:43:04	79.961	28
30-Mar-2021 00:43:09	80.081	25.8
30-Mar-2021 00:43:14	80.062	25.9
30-Mar-2021 00:43:19	79.935	28.2
30-Mar-2021 00:43:24	79.953	28.1
30-Mar-2021 00:43:29	80.06	26.2
30-Mar-2021 00:43:34	80.053	26.2
30-Mar-2021 00:43:39	79.938	28.2
30-Mar-2021 00:43:44	79.948	28.2
30-Mar-2021 00:43:49	79.954	28.2
30-Mar-2021 00:43:54	80.069	26.2
30-Mar-2021 00:43:59	80.05	26.2
30-Mar-2021 00:44:04	79.944	28.2
30-Mar-2021 00:44:09	79.964	28
30-Mar-2021 00:44:14	80.066	26
30-Mar-2021 00:44:19	80.075	25.8
30-Mar-2021 00:44:24	79.943	28.1
30-Mar-2021 00:44:29	79.948	28.1
30-Mar-2021 00:44:34	79.962	28
30-Mar-2021 00:44:39	80.086	25.7
30-Mar-2021 00:44:44	80.062	25.9
30-Mar-2021 00:44:49	79.947	27.9
30-Mar-2021 00:44:54	79.956	28
30-Mar-2021 00:44:59	80.063	25.9
30-Mar-2021 00:45:04	80.068	25.9
30-Mar-2021 00:45:09	79.951	27.8
30-Mar-2021 00:45:14	79.942	28.1
30-Mar-2021 00:45:19	79.955	28.1
